TSLF,FireYear,Assessment_Year,ObsArea_Whole,ObsArea_Subset,Check_ObsPercent_Whole,Check_ObsPercent_Subset,Check_Exp_MINInterval,Check_Exp_MAXInterval,,
29,1976,2000,0,0,0,0,0.251582304,1.363812301,,
30,1975,2000,0,0,0,0,0.20965192,1.272891481,,
31,1974,2000,0.271255911,0,0.149653396,0,0.174709934,1.188032049,,
32,1973,2000,0,0,0,0,0.145591611,1.108829912,,
33,1972,2000,0,0,0,0,0.121326343,1.034907918,,
34,1971,2000,0.044831623,0,0.024733856,0,0.101105286,0.965914057,,
35,1970,2000,0,0,0,0,0.084254405,0.901519786,,
36,1969,2000,0,0,0,0,0.070212004,0.841418467,,
37,1968,2000,1.49159654,0,0.822922117,0,0.058510003,0.785323903,,
38,1967,2000,0,0,0,0,0.048758336,0.732968976,,
39,1966,2000,0,0,0,0,0.040631947,0.684104378,,
40,1965,2000,0,0,0,0,0.033859956,0.638497419,,
41,1964,2000,0.017675495,0,0.009751669,0,0.02821663,0.595930924,,
42,1963,2000,0,0,0,0,0.023513858,0.556202196,,
43,1962,2000,0,0,0,0,0.019594882,0.51912205,,
44,1961,2000,0,0,0,0,0.016329068,0.484513913,,
45,1960,2000,0,0,0,0,0.013607557,0.452212986,,
46,1959,2000,0,0,0,0,0.011339631,0.422065453,,
47,1958,2000,0,0,0,0,0.009449692,0.393927756,,
48,1957,2000,0,0,0,0,0.007874743,0.367665906,,
49,1956,2000,0,0,0,0,0.006562286,0.343154846,,
50,1955,2000,0,0,0,0,0.005468572,0.320277856,,
51,1954,2000,0,0,0,0,0.004557143,0.298925999,,
52,1953,2000,0,0,0,0,0.003797619,0.278997599,,
53,1952,2000,0,0,0,0,0.003164683,0.260397759,,
54,1951,2000,0,0,0,0,0.002637236,0.243037908,,
55,1950,2000,0,0,0,0,0.002197696,0.226835381,,
Unknown,Unknown,2000,137.6459379,3.984442937,75.94003041,22.04775592,0.010988482,3.175695335,,
